"time_group1","strain_group1","time_group2","strain_group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"0","pretreated","0","untreated",0,377777.777777777,-133764.168360487,889319.723916041,0.421,"ns"
"0","pretreated","1","untreated",0,-1017666.66666667,-1529208.61280493,-506124.720528404,1.94e-08,"****"
"0","pretreated","10","untreated",0,-1121777.77777778,-1633319.72391604,-610235.831639514,4.67e-10,"****"
"0","pretreated","30","untreated",0,-1122222.22222222,-1633764.16836049,-610680.276083958,4.59e-10,"****"
"0","pretreated","60","untreated",0,-1122222.22222222,-1633764.16836049,-610680.276083958,4.59e-10,"****"
"0","pretreated","120","untreated",0,-1122222.22222222,-1633764.16836049,-610680.276083958,4.59e-10,"****"
"0","pretreated","240","untreated",0,-1122222.22222222,-1633764.16836049,-610680.276083958,4.59e-10,"****"
"0","pretreated","360","untreated",0,-1122222.22222222,-1633764.16836049,-610680.276083958,4.59e-10,"****"
"1","pretreated","0","untreated",0,44444.4444444445,-467097.50169382,555986.390582709,1,"ns"
"1","pretreated","1","untreated",0,-1351000,-1862541.94613826,-839458.053861736,2.27e-13,"****"
"1","pretreated","10","untreated",0,-1455111.11111111,-1966653.05724937,-943569.164972846,1.31e-13,"****"
"1","pretreated","30","untreated",0,-1455555.55555555,-1967097.50169382,-944013.60941729,1.33e-13,"****"
"1","pretreated","60","untreated",0,-1455555.55555555,-1967097.50169382,-944013.60941729,1.33e-13,"****"
"1","pretreated","120","untreated",0,-1455555.55555555,-1967097.50169382,-944013.60941729,1.33e-13,"****"
"1","pretreated","240","untreated",0,-1455555.55555555,-1967097.50169382,-944013.60941729,1.33e-13,"****"
"1","pretreated","360","untreated",0,-1455555.55555555,-1967097.50169382,-944013.60941729,1.33e-13,"****"
"10","pretreated","0","untreated",0,733333.333333333,221791.387195069,1244875.2794716,0.000195,"***"
"10","pretreated","1","untreated",0,-662111.111111112,-1173653.05724938,-150569.164972847,0.00142,"**"
"10","pretreated","10","untreated",0,-766222.222222222,-1277764.16836049,-254680.276083958,7.38e-05,"****"
"10","pretreated","30","untreated",0,-766666.666666666,-1278208.61280493,-255124.720528402,7.28e-05,"****"
"10","pretreated","60","untreated",0,-766666.666666666,-1278208.61280493,-255124.720528401,7.28e-05,"****"
"10","pretreated","120","untreated",0,-766666.666666666,-1278208.61280493,-255124.720528402,7.28e-05,"****"
"10","pretreated","240","untreated",0,-766666.666666666,-1278208.61280493,-255124.720528401,7.28e-05,"****"
"10","pretreated","360","untreated",0,-766666.666666666,-1278208.61280493,-255124.720528401,7.28e-05,"****"
"30","pretreated","0","untreated",0,922222.222222221,410680.276083957,1433764.16836049,5.14e-07,"****"
"30","pretreated","1","untreated",0,-473222.222222224,-984764.168360488,38319.7239160406,0.104,"ns"
"30","pretreated","10","untreated",0,-577333.333333334,-1088875.2794716,-65791.3871950695,0.0119,"*"
"30","pretreated","30","untreated",0,-577777.777777778,-1089319.72391604,-66235.8316395135,0.0118,"*"
"30","pretreated","60","untreated",0,-577777.777777778,-1089319.72391604,-66235.8316395134,0.0118,"*"
"30","pretreated","120","untreated",0,-577777.777777778,-1089319.72391604,-66235.8316395135,0.0118,"*"
"30","pretreated","240","untreated",0,-577777.777777778,-1089319.72391604,-66235.8316395133,0.0118,"*"
"30","pretreated","360","untreated",0,-577777.777777778,-1089319.72391604,-66235.8316395134,0.0118,"*"
"60","pretreated","0","untreated",0,955555.555555555,444013.60941729,1467097.50169382,1.67e-07,"****"
"60","pretreated","1","untreated",0,-439888.88888889,-951430.835027154,71653.0572493741,0.182,"ns"
"60","pretreated","10","untreated",0,-544000,-1055541.94613826,-32458.053861736,0.0253,"*"
"60","pretreated","30","untreated",0,-544444.444444444,-1055986.39058271,-32902.49830618,0.0251,"*"
"60","pretreated","60","untreated",0,-544444.444444444,-1055986.39058271,-32902.4983061799,0.0251,"*"
"60","pretreated","120","untreated",0,-544444.444444444,-1055986.39058271,-32902.49830618,0.0251,"*"
"60","pretreated","240","untreated",0,-544444.444444444,-1055986.39058271,-32902.4983061798,0.0251,"*"
"60","pretreated","360","untreated",0,-544444.444444444,-1055986.39058271,-32902.4983061799,0.0251,"*"
"120","pretreated","0","untreated",0,1244444.44444444,732902.498306179,1755986.39058271,5.1e-12,"****"
"120","pretreated","1","untreated",0,-151000.000000001,-662541.946138266,360541.946138263,1,"ns"
"120","pretreated","10","untreated",0,-255111.111111111,-766653.057249376,256430.835027153,0.931,"ns"
"120","pretreated","30","untreated",0,-255555.555555555,-767097.50169382,255986.390582709,0.93,"ns"
"120","pretreated","60","untreated",0,-255555.555555555,-767097.50169382,255986.390582709,0.93,"ns"
"120","pretreated","120","untreated",0,-255555.555555555,-767097.50169382,255986.390582709,0.93,"ns"
"120","pretreated","240","untreated",0,-255555.555555555,-767097.50169382,255986.390582709,0.93,"ns"
"120","pretreated","360","untreated",0,-255555.555555555,-767097.50169382,255986.390582709,0.93,"ns"
"240","pretreated","0","untreated",0,1440000,928458.053861734,1951541.94613826,1.46e-13,"****"
"240","pretreated","1","untreated",0,44555.5555555537,-466986.390582711,556097.501693818,1,"ns"
"240","pretreated","10","untreated",0,-59555.5555555564,-571097.501693821,451986.390582708,1,"ns"
"240","pretreated","30","untreated",0,-60000.0000000004,-571541.946138265,451541.946138264,1,"ns"
"240","pretreated","60","untreated",0,-60000.0000000003,-571541.946138265,451541.946138264,1,"ns"
"240","pretreated","120","untreated",0,-60000.0000000004,-571541.946138265,451541.946138264,1,"ns"
"240","pretreated","240","untreated",0,-60000.0000000002,-571541.946138264,451541.946138264,1,"ns"
"240","pretreated","360","untreated",0,-60000.0000000003,-571541.946138264,451541.946138264,1,"ns"
"360","pretreated","0","untreated",0,1474666.66666667,963124.720528401,1986208.61280493,1.33e-13,"****"
"360","pretreated","1","untreated",0,79222.2222222207,-432319.723916044,590764.168360485,1,"ns"
"360","pretreated","10","untreated",0,-24888.8888888894,-536430.835027154,486653.057249375,1,"ns"
"360","pretreated","30","untreated",0,-25333.3333333334,-536875.279471598,486208.612804931,1,"ns"
"360","pretreated","60","untreated",0,-25333.3333333333,-536875.279471598,486208.612804931,1,"ns"
"360","pretreated","120","untreated",0,-25333.3333333334,-536875.279471598,486208.612804931,1,"ns"
"360","pretreated","240","untreated",0,-25333.3333333332,-536875.279471598,486208.612804931,1,"ns"
"360","pretreated","360","untreated",0,-25333.3333333333,-536875.279471598,486208.612804931,1,"ns"
